imgid,Yellow,Green,Cyan,Blue,Magenta
masked,59.68192,30.42446,9.243,0.65062,0.0
masked,62.39153,29.79841,6.92448,0.88559,0.0
masked,66.0244,26.67025,6.88554,0.41981,0.0
masked,64.11285,28.81373,6.32903,0.74439,0.0
masked,55.09074,38.44591,5.58213,0.88122,0.0
masked,20.48279,72.55152,5.94593,1.01976,0.0
masked,19.31602,72.04583,7.6591,0.97906,0.0
masked,18.60744,73.02588,7.13285,1.23383,0.0
masked,15.5426,79.35756,4.17462,0.92521,0.0
masked,36.05841,57.17599,5.65931,1.10629,0.0
masked,38.61764,56.51143,4.30145,0.56948,0.0
masked,29.66147,62.41671,6.76761,1.15421,0.0
masked,24.23878,68.46554,6.79704,0.49864,0.0
masked,6.64947,87.33913,4.71355,1.29786,0.0
masked,11.75756,81.69246,5.21027,1.33971,0.0
masked,10.36894,82.91557,5.82285,0.89264,0.0
masked,8.22958,86.74323,3.89255,1.13464,0.0
masked,8.40116,86.33779,4.54385,0.7172,0.0
masked,24.11432,69.02544,6.08412,0.77611,0.0
masked,24.80273,69.60598,5.04961,0.54168,0.0
masked,33.1293,61.00327,5.23094,0.63649,0.0
masked,22.59158,71.55025,5.28677,0.5714,0.0
masked,55.94466,37.83983,5.42967,0.78584,0.0
masked,53.54536,40.46041,5.41523,0.579,0.0
masked,45.85847,47.06769,6.479,0.59484,0.0
masked,67.731,25.49056,5.95616,0.82228,0.0
masked,69.08379,24.27345,6.02944,0.61332,0.0
masked,48.95178,44.39744,5.98142,0.66936,0.0
masked,64.39776,30.36971,4.81958,0.41295,0.0
masked,65.00058,28.44999,6.04697,0.50245,0.0
masked,70.67613,23.16999,5.7433,0.41058,0.0
masked,69.69046,25.31099,4.6638,0.33475,0.0
masked,43.479,50.60998,5.28273,0.62829,0.0
masked,48.35809,44.83991,5.9935,0.80851,0.0
masked,55.53256,37.35075,6.3421,0.77459,0.0
masked,62.63458,30.68665,6.14985,0.52892,0.0
masked,67.62327,24.47169,6.88429,1.02074,0.0
masked,34.26313,59.66215,5.56674,0.50798,0.0
masked,40.23114,54.20113,5.19253,0.3752,0.0
masked,22.59282,72.08699,4.67057,0.64962,0.0
masked,24.06175,69.58504,5.77539,0.57782,0.0
masked,78.8752,12.93619,7.48035,0.70826,0.0
masked,83.78927,7.94843,7.59762,0.66468,0.0
masked,73.80725,17.68845,7.85623,0.64806,0.0
masked,75.07288,18.09004,6.04842,0.78866,0.0
masked,79.62129,13.84927,5.72528,0.80415,0.0
masked,38.31494,57.4963,3.77561,0.41314,0.0
masked,22.12306,72.93953,4.52978,0.40763,0.0
masked,32.15486,62.65145,4.63642,0.55727,0.0
masked,36.66484,57.55897,5.32364,0.45255,0.0
masked,42.83164,51.46937,5.29284,0.40615,0.0
masked,49.48348,46.22001,3.68181,0.6147,0.0
masked,27.44954,65.65502,5.99935,0.89608,0.0
masked,40.12198,51.73517,7.54807,0.59477,0.0
masked,41.37517,51.35588,6.46453,0.80443,0.0
masked,27.74783,66.00812,5.6225,0.62155,0.0
masked,47.07196,44.65553,7.80589,0.46662,0.0
masked,44.1195,49.43082,5.84591,0.60377,0.0
masked,23.58397,70.88551,4.94629,0.58423,0.0
masked,29.59638,65.71221,4.16566,0.52576,0.0
masked,35.90931,58.0387,5.39269,0.6593,0.0
masked,25.6253,68.23467,5.38996,0.75008,0.0
masked,43.24296,51.27136,4.91268,0.57301,0.0
masked,28.18961,66.0421,5.41317,0.35512,0.0
masked,33.88513,61.29074,4.48831,0.33582,0.0
masked,36.19437,58.31891,5.08987,0.39685,0.0
masked,35.61318,59.12298,4.86343,0.40042,0.0
masked,40.31108,54.42068,4.77717,0.49107,0.0
masked,27.85684,66.33225,5.11202,0.69889,0.0
masked,19.90068,72.17156,7.16027,0.76749,0.0
masked,22.76797,72.15961,4.61408,0.45834,0.0
masked,28.9953,66.01912,4.35069,0.6349,0.0
masked,21.74394,74.28753,3.56287,0.40566,0.0
masked,48.69576,43.89018,6.55778,0.85629,0.0
masked,30.54484,64.49103,4.13229,0.83184,0.0
masked,34.56085,60.22599,4.64458,0.56858,0.0
masked,34.1943,58.93395,6.09071,0.78104,0.0
masked,46.55612,46.84538,5.79374,0.80477,0.0
masked,65.98232,27.53747,6.11242,0.36779,0.0
masked,47.9445,44.87164,6.3729,0.81096,0.0
masked,39.09392,56.01409,4.39509,0.4969,0.0
masked,23.78683,72.68955,3.35352,0.17011,0.0
masked,21.22101,73.77647,4.63764,0.36488,0.0
masked,24.52752,70.09367,5.01362,0.36519,0.0
masked,28.89202,65.26194,5.09307,0.75297,0.0
masked,23.79847,70.83315,4.7057,0.66268,0.0
masked,20.15632,73.37529,5.82638,0.64202,0.0
masked,37.96493,55.55051,5.51343,0.97113,0.0
masked,65.56654,27.13126,6.68673,0.61546,0.0
masked,48.37689,45.06686,5.6962,0.86004,0.0
masked,52.10251,41.8818,5.28816,0.72753,0.0
masked,36.60103,56.82305,5.84644,0.72948,0.0
masked,44.42352,49.48625,5.28706,0.80317,0.0
masked,48.14495,46.22007,4.89855,0.73643,0.0
masked,23.13843,73.1951,3.17957,0.4869,0.0
masked,63.33821,32.18077,3.99585,0.48518,0.0
masked,73.91257,21.82915,3.92084,0.33744,0.0
masked,39.0652,59.67146,1.10923,0.15411,0.0
masked,33.73976,61.63814,4.26243,0.35967,0.0
masked,31.27083,64.26251,4.1795,0.28716,0.0
masked,21.06402,73.65865,4.72871,0.54862,0.0
masked,27.06646,66.80392,5.62388,0.50573,0.0
masked,29.97787,63.36004,6.076,0.58609,0.0
masked,34.18031,58.71152,6.43595,0.67222,0.0
masked,28.07497,64.41102,6.77361,0.74039,0.0
masked,72.81443,18.41477,7.90834,0.86247,0.0
masked,83.14681,9.82704,6.20025,0.8259,0.0
masked,66.73423,27.20801,5.58399,0.47378,0.0
masked,77.53504,16.06016,5.81435,0.59045,0.0
masked,49.90729,43.57419,5.80071,0.7178,0.0
masked,51.11335,42.81227,5.39851,0.67587,0.0
masked,45.83505,47.54543,5.7424,0.87712,0.0
masked,87.09495,5.35456,7.07544,0.47505,0.0
masked,89.35403,5.11536,4.96483,0.56578,0.0
masked,61.20998,30.43542,7.53774,0.81686,0.0
masked,78.75176,14.77316,5.82148,0.65359,0.0
masked,63.04048,30.39286,5.95281,0.61385,0.0
masked,77.68353,15.79285,5.90139,0.62223,0.0
masked,67.42667,25.55016,6.4524,0.57077,0.0
masked,70.29158,22.20102,6.74107,0.76632,0.0
masked,14.67867,79.44088,5.40662,0.47383,0.0
masked,20.27732,74.29248,4.71528,0.71492,0.0
masked,17.91474,75.90257,5.64143,0.54126,0.0
masked,69.18893,24.98244,5.44111,0.38752,0.0
masked,50.43428,44.92303,3.99405,0.64864,0.0
masked,68.26222,25.46072,5.6722,0.60486,0.0
masked,71.06955,23.77468,4.73994,0.41582,0.0
masked,60.34796,34.65639,4.58805,0.40761,0.0
masked,89.89218,3.4812,6.26984,0.35678,0.0
masked,91.70734,2.90505,5.10943,0.27817,0.0
masked,91.25908,2.91095,5.35916,0.47081,0.0
masked,91.8562,2.64358,5.24999,0.25024,0.0
masked,91.32353,3.50969,4.93074,0.23605,0.0
masked,91.15472,3.59245,5.0239,0.22893,0.0
masked,25.82721,69.3501,4.22298,0.59971,0.0
masked,29.48007,66.74043,3.37413,0.40537,0.0
masked,28.22759,66.77968,4.47472,0.51801,0.0
masked,28.27618,66.43335,4.67884,0.61163,0.0
masked,23.42069,70.38751,5.46696,0.72484,0.0
masked,27.92651,66.74639,4.78352,0.54358,0.0
masked,21.9935,74.34835,3.17167,0.48648,0.0
masked,38.16978,56.77997,4.43662,0.61362,0.0
masked,49.8826,45.54615,4.02583,0.54542,0.0
masked,31.69879,64.96425,2.95744,0.37952,0.0
masked,23.50533,71.6925,4.16471,0.63746,0.0
masked,70.08925,24.68005,4.87076,0.35994,0.0
masked,63.47167,31.21449,4.80047,0.51336,0.0
masked,74.15484,20.04976,5.31733,0.47807,0.0
masked,67.58191,28.76571,3.2624,0.38998,0.0
masked,51.23542,42.79278,5.33825,0.63355,0.0
masked,49.75888,44.42199,5.07557,0.74355,0.0
masked,33.94812,60.78454,4.78581,0.48153,0.0
masked,68.95343,25.81926,4.71256,0.51474,0.0
masked,50.41054,45.15968,4.12811,0.30167,0.0
masked,40.43817,52.51434,6.05643,0.99105,0.0
masked,38.72352,54.24619,6.10226,0.92803,0.0
masked,18.5423,76.1155,4.68278,0.65942,0.0
masked,21.12935,73.03991,5.14294,0.6878,0.0
masked,17.45505,77.14136,4.61312,0.79046,0.0
masked,15.6538,76.58917,6.81453,0.9425,0.0
masked,17.24774,77.21085,4.75423,0.78718,0.0
masked,17.10595,76.79706,5.6334,0.46359,0.0
masked,15.61238,77.25113,6.4861,0.65039,0.0
masked,12.98146,81.42846,4.80264,0.78744,0.0
masked,16.07336,78.77884,4.5663,0.5815,0.0
masked,23.94767,69.97256,5.59459,0.48518,0.0
masked,31.33195,62.16011,5.92823,0.57971,0.0
masked,19.95038,73.25641,6.04891,0.7443,0.0
masked,38.46315,54.02897,6.58828,0.91959,0.0
masked,26.31024,67.13179,5.68398,0.87399,0.0
masked,39.06936,54.86987,5.37355,0.68722,0.0
masked,32.43962,62.92332,4.16236,0.47469,0.0
masked,37.54924,57.8364,4.22964,0.38472,0.0
masked,45.85813,49.2583,4.29495,0.58862,0.0
masked,31.02063,63.47112,4.79906,0.70919,0.0
masked,31.68984,64.08723,3.66047,0.56246,0.0
masked,50.39955,45.02702,4.09564,0.47779,0.0
masked,49.88356,46.45014,3.1346,0.53171,0.0
masked,57.18535,38.41509,3.9667,0.43285,0.0
masked,55.67083,38.19394,5.75946,0.37577,0.0
masked,57.25794,39.42592,2.97833,0.33781,0.0
masked,60.1876,35.37233,4.05259,0.38747,0.0
masked,46.47505,48.69193,4.23523,0.59779,0.0
masked,50.41251,44.06772,5.08352,0.43625,0.0
masked,71.09457,23.11874,5.16368,0.623,0.0
masked,62.65634,31.77857,4.9939,0.57118,0.0
masked,54.08427,41.47806,3.98579,0.45188,0.0
masked,29.23065,66.24746,4.23128,0.2906,0.0
masked,24.51352,71.10487,3.92234,0.45927,0.0
masked,49.37769,45.81859,4.34125,0.46247,0.0
masked,76.54681,18.25655,4.73892,0.45772,0.0
masked,47.50396,46.68152,5.27694,0.53757,0.0
masked,23.01316,70.82175,5.58513,0.57996,0.0
masked,20.81515,73.69631,5.05979,0.42875,0.0
masked,24.38292,69.90617,5.04761,0.66331,0.0
masked,29.14655,65.35479,4.95489,0.54377,0.0
masked,21.19439,73.33077,4.93255,0.54229,0.0
masked,43.07488,50.64472,5.64981,0.63058,0.0
masked,42.82617,49.56633,7.14024,0.46726,0.0
masked,75.63761,18.21892,5.61845,0.52502,0.0
masked,46.34831,46.12051,6.85335,0.67783,0.0
masked,36.8357,53.66639,8.98615,0.51176,0.0
masked,19.97298,75.64838,4.01541,0.36323,0.0
masked,10.40432,84.73132,4.47147,0.39289,0.0
masked,27.35244,69.00908,3.39431,0.24417,0.0
masked,37.77686,58.50609,3.55758,0.15947,0.0
masked,2.40453,92.77767,3.93906,0.87875,0.0
masked,8.78285,84.76791,5.39134,1.0579,0.0
masked,12.71716,82.32312,4.23133,0.72839,0.0
masked,13.50706,81.61727,4.22214,0.65352,0.0
masked,32.30732,61.85773,5.25327,0.58168,0.0
masked,16.85058,77.38376,5.2691,0.49656,0.0
masked,18.56499,77.50784,3.44463,0.48254,0.0
masked,62.3662,32.83037,4.41396,0.38947,0.0
masked,58.1697,37.97379,3.60764,0.24888,0.0
masked,42.94768,53.46854,3.17354,0.41023,0.0
masked,67.40204,26.96036,5.19866,0.43894,0.0
masked,41.09074,54.10797,4.38331,0.41798,0.0
masked,56.32082,38.93,4.46864,0.28053,0.0
masked,64.29733,28.52273,6.5076,0.67234,0.0
masked,51.6679,41.0624,6.61611,0.65359,0.0
masked,62.82699,31.45005,5.13811,0.58486,0.0
masked,65.0351,28.71796,5.79257,0.45437,0.0
masked,22.08423,76.44125,1.29253,0.182,0.0
masked,26.68788,71.29299,1.74185,0.27728,0.0
masked,15.91378,78.33933,4.89179,0.8551,0.0
masked,33.10507,61.77118,4.66396,0.45979,0.0
masked,83.6874,12.54362,3.48107,0.28791,0.0
masked,36.38786,58.04873,4.80748,0.75593,0.0
masked,44.00822,49.74937,5.52944,0.71297,0.0
masked,39.45374,53.60431,6.21772,0.72423,0.0
masked,35.69262,58.10625,5.47367,0.72745,0.0
masked,5.60608,92.53856,1.30067,0.5547,0.0
masked,7.57246,89.05036,2.75848,0.61871,0.0
masked,28.52056,69.56209,1.65029,0.26706,0.0
masked,54.25568,41.77557,3.45564,0.51311,0.0
masked,21.62667,76.35841,1.87652,0.1384,0.0
masked,45.77469,50.87073,3.07758,0.277,0.0
masked,29.37357,65.02669,5.05284,0.5469,0.0
masked,45.10264,49.86728,4.78455,0.24553,0.0
masked,53.41891,42.37336,3.87491,0.33281,0.0
masked,49.26066,45.87229,4.35648,0.51058,0.0
masked,35.75717,62.01362,2.10476,0.12446,0.0
masked,36.99442,57.84043,4.79837,0.36678,0.0
masked,33.32174,61.44494,4.64797,0.58535,0.0
masked,63.96076,29.07751,6.42533,0.5364,0.0
masked,67.71794,25.80558,6.00181,0.47466,0.0
masked,64.61524,30.63724,4.27781,0.46972,0.0
masked,68.26308,24.77098,6.54052,0.42542,0.0
masked,78.37342,14.26665,6.6954,0.66453,0.0
masked,52.81303,41.5753,5.16062,0.45104,0.0
masked,61.52138,31.54602,6.03894,0.89366,0.0
masked,44.80443,50.42116,4.32792,0.44649,0.0
masked,30.1626,64.50658,4.73647,0.59435,0.0
masked,72.93315,20.31711,6.14149,0.60824,0.0
masked,79.3776,15.02162,5.092,0.50878,0.0
masked,52.35524,40.94076,6.00727,0.69674,0.0
masked,19.40932,74.53411,5.3716,0.68497,0.0
masked,20.08286,73.43798,5.72387,0.75529,0.0
masked,23.68865,70.56335,5.04183,0.70617,0.0
masked,10.28935,83.41602,5.42858,0.86605,0.0
masked,11.14211,82.31476,5.72083,0.8223,0.0
masked,22.26009,70.62372,6.25609,0.86011,0.0
masked,59.00152,35.27449,5.27625,0.44773,0.0
masked,41.44139,51.43021,6.27662,0.85178,0.0
masked,41.77191,49.13408,8.41337,0.68063,0.0
masked,53.16755,39.0976,7.15893,0.57592,0.0
masked,54.59016,37.56706,7.06781,0.77496,0.0
masked,50.01809,41.96642,7.06014,0.95534,0.0
masked,31.44904,63.28871,4.55812,0.70412,0.0
masked,43.53568,48.93089,7.03694,0.49649,0.0
masked,30.50169,59.84746,8.61695,1.0339,0.0
masked,57.11846,37.51965,4.89021,0.47167,0.0
masked,41.30079,51.84255,6.41366,0.443,0.0
masked,41.64755,52.0079,5.73768,0.60687,0.0
masked,55.95631,38.23441,5.32917,0.48011,0.0
masked,73.16412,20.42477,5.97233,0.43878,0.0
masked,62.55899,32.40088,4.61688,0.42325,0.0
masked,58.02116,35.88328,5.6158,0.47976,0.0
masked,83.52895,10.3104,5.65445,0.5062,0.0
masked,31.38483,63.07482,4.96159,0.57876,0.0
masked,50.77829,42.9598,5.4671,0.7948,0.0
masked,39.7514,53.59442,6.1025,0.55168,0.0
masked,32.22193,60.1603,7.00348,0.61428,0.0
masked,29.55602,64.50159,4.92459,1.0178,0.0
masked,57.68896,35.96153,5.93653,0.41298,0.0
masked,45.54136,49.31271,4.66174,0.4842,0.0
masked,71.09028,22.07384,6.36862,0.46726,0.0
masked,69.34783,25.56262,4.8261,0.26345,0.0
masked,65.94682,26.73094,6.74915,0.57309,0.0
masked,68.78563,25.06521,5.68289,0.46627,0.0
masked,79.58242,13.9583,5.89468,0.56459,0.0
masked,75.47929,18.16932,5.85148,0.49991,0.0
masked,33.67161,59.26085,6.41632,0.65122,0.0
masked,35.29888,56.98911,6.89834,0.81367,0.0
masked,42.76044,50.53307,5.98569,0.7208,0.0
masked,39.68464,53.61156,5.98621,0.71759,0.0
masked,46.90496,44.53387,7.74451,0.81666,0.0
masked,21.39617,72.21164,5.13176,1.26043,0.0
masked,70.81526,21.76117,6.90097,0.5226,0.0
masked,62.64062,31.54531,5.39994,0.41413,0.0
masked,67.13143,25.89715,6.50472,0.46669,0.0
masked,73.71362,18.59211,7.0987,0.59556,0.0
masked,56.74247,36.7069,6.14661,0.40401,0.0
masked,46.43848,47.41559,5.55909,0.58684,0.0
masked,65.231,27.26444,7.03343,0.47112,0.0
masked,58.48677,32.91868,8.02912,0.56543,0.0
masked,42.24657,49.87513,7.13759,0.74072,0.0
masked,24.67151,63.71909,10.78919,0.82021,0.0
masked,30.42006,62.76807,6.15601,0.65587,0.0
masked,39.10818,53.39586,6.71614,0.77983,0.0
masked,47.69749,44.93368,6.27203,1.09681,0.0
masked,54.47,38.74003,6.18873,0.60123,0.0
masked,53.52319,39.72033,5.75034,1.00614,0.0
